title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Natalie and Romaine,Diana Souhami,2004-01-01,,angielski,Quercus,"biografia, autobiografia, pamiętnik",papier,1,0,"Natalie Barney,'the wild girl of Cincinnati', and Romaine Brooks were both rich, American and grandly lesbian. They met in Paris in 1915 and their tempestuous affair lasted more than fifty years.By the end of their lives together, Natalie and Romaine had entertained, slept with, fallen in love with, tutored or tortured a range of figures including Gertrude Stein, Colette, Edith Sitwell, Gabriele d'Annunzio and the ballerina Ida Rubinstein.But among this tumult there was an enduring and loving relationship that supported a liberating spirit of culture, style and candour. In this vivid double biography, Souhami writes with complexity and skill, drawing the reader into a different world and capturing for ever her subjects' extraordinary lives.","7,0",9781780878829,https://lubimyczytac.pl/ksiazka/5165249/natalie-and-romaine
"My Endless War. . . and My Shattered Dreams: My Survival of the Holocaust and the Recollection of My Unforgettable Memories of My Life Before World War II, My Life During the War with the Nazi Regime, My Life After the War and All of My Happenings...",Sonia Kaplan,2004-01-01,359,angielski,Booksurge Publishing,"biografia, autobiografia, pamiętnik",papier,1,1,"This is my autobiography, and the story of my survival of the Holocaust under the Nazi regime. I am describing my life, before,during and after the war and having to face life all alone,without any of my family members left alive.","10,0",1594575584,https://lubimyczytac.pl/ksiazka/4861338/my-endless-war-and-my-shattered-dreams-my-survival-of-the-holocaust-and-the-recollection-of
Marszruta życia,Aleksander Skibicki,2004-01-01,106,polski,Offset,"biografia, autobiografia, pamiętnik",papier,1,0,"Biograficzna powieść o przeżyciach autora, które zarówno wzbudzają jaki i rozśmieszają do łez. Pozwalają poznać kawał historii, doświadczonej przez wielu ludzi w tamtym czasie, a opowiedzianego przez dojrzałego mężczyznę na podstawie własnych przeżyć sprzed pięćdziesięciu lat.","8,0",9788391334836,https://lubimyczytac.pl/ksiazka/4892024/marszruta-zycia
H. C. Andersens liv,Karl Aage Kirkegaard,2004-01-01,100,duński,Special-Pædagogisk Forlag,"biografia, autobiografia, pamiętnik",papier,1,1,"Denne bog fortæller om H. C. Andersens liv. Vi hører om hans fattige barndom i Odense, hans svære ungdomsår i København og tiden derefter, da han er en berømt forfatter.","7,0",8776070166,https://lubimyczytac.pl/ksiazka/5119216/h-c-andersens-liv
This is the House that Zvi Built,Temima Gezari,2004-01-01,,angielski,Studio Workshop Press,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"10,0",0-9616269-6-8,https://lubimyczytac.pl/ksiazka/165514/this-is-the-house-that-zvi-built
Dziedzictwo. Zielony świat Ursynowa,Aleksander Mann,2004-01-01,118,polski,Wydawnictwo Archidiecezji Warszawskiej,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"7,0",8387802794,https://lubimyczytac.pl/ksiazka/5074046/dziedzictwo-zielony-swiat-ursynowa
Of Beetles and Angels: A Boy's Remarkable Journey from a Refugee Camp to Harvard,Selamawi Asgedom,2004-01-01,133,angielski,"Mawi, Inc","biografia, autobiografia, pamiętnik",papier,1,0,Mawi's unforgettable memoir shares his journey from a refugee camp to Harvard University.,"4,0",,https://lubimyczytac.pl/ksiazka/4897561/of-beetles-and-angels-a-boy-s-remarkable-journey-from-a-refugee-camp-to-harvard
Jurek. Szkice do portretu,Małgorzata Iwanowska-Ludwińska,2004-01-01,103,polski,Pracownia poligraficzne s.c. Toruń,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"8,0",,https://lubimyczytac.pl/ksiazka/4906417/jurek-szkice-do-portretu
Biyografya 4: Kemal Tahir,Güven Avcı,2004-01-01,213,turecki,Bağlam Yayıncılık,"biografia, autobiografia, pamiętnik",papier,0,0,"İçindekiler:Ayşegül Yaraman, Yaşam Öyküsü ve Kemal Tahir'in Kesişme Noktası: Sorgulanan Modernite; İskender Özsoy, Kemal Tahir'in 63 Yılı; Naci Çelik, Tanıklarla Kemal Tahir'in Altı Yılı 1932-1938; Erem Sarıkoca, Kemal Tahir ve Toplum Yapıları; Cengiz Yazoğlu, Kemal Tahir'in Tarihe Bakışı; Seçkin Sevim, Kemal Tahir ve Türk Solu; Danuta Chmielowska, Çağdaş Türk Edebiyatında Kemal Tahir'in Eserlerinin Rolü; Sezai Coşkun, Kemal Tahir'de Dil Düşüncesi ve Türkçe'nin Meseleleri; Bülent Kalkan, Hangi Köydensiniz?; Güven Avcı, Ya Devlet Başa ya Kuzgun Leşe; Valérie Gay, Osmanlı Çekirdeği; Sezai Coşkun, Bir Mülkiyet Kalesi'ni Okuma Denemesi; İskender Özsoy, Melda Kalyoncu: ""Kemal Tahir'in Gönlü ve Kapısı Herkese Açıktı...""; İskender Özsoy, Gerçeği Bulma Uğruna Harcanan Ömür; İskender Özsoy, Çorum Cezaevi'nin ""Kitaplı Casus""u; İskender Özsoy, Yazarın Gizli Hazinesi; Kemal Tahir, Hikayelerinden Örnekler","0,0",9758803042,https://lubimyczytac.pl/ksiazka/5172576/biyografya-4-kemal-tahir
Симон Петлюра,Wiktor Sawczenko,2004-01-01,415,rosyjski,Фоліо,"biografia, autobiografia, pamiętnik",papier,0,0,"Эта книга рассказывает о человеке, которого советская пропаганда начиная с 20-х годов ХХ столетия сделала воплощением всего самого темного: предательства, обмана и человеконенавистничества — о Симоне Петлюре.Автор книги о Петлюре пытается доказать, что его герой не был ни суперзлодеем, ни супергероем. Он был политиком и политиком искусным, хотя и противоречивым, сумевшим в течение десяти лет сохранить политическое влияние. А в политике слишком часто ради сохранения власти приходится снимать белые перчатки.","0,0",9660334540,https://lubimyczytac.pl/ksiazka/5102379/simon-petlyura
A pieniądze zamieniał na ideały,Barbara Pratzer,2004-01-01,104,polski,B&M&W,"biografia, autobiografia, pamiętnik",papier,1,1,Ta książka nie posiada jeszcze opisu.,"9,0",8390063484,https://lubimyczytac.pl/ksiazka/5077822/a-pieniadze-zamienial-na-idealy
Wspomnienia misjonarza,Tadeusz Jan Krzemiński,2004-01-01,126,polski,Inne,"biografia, autobiografia, pamiętnik",papier,1,1,"o. Tadeusz Jan Krzemiński, oblat, misjonarz w Kamerunie, duszpasterz polonijny we Francji, superior Dystryktu Belgijskiego. Snuje wspomnienia ze swojej posługi w Polsce, Kamerunie.","9,0",8391371328,https://lubimyczytac.pl/ksiazka/292645/wspomnienia-misjonarza
Mam 65 lat,Janusz Materne,2004-01-01,237,polski,wydano nakładem autora,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"6,0",8391914615,https://lubimyczytac.pl/ksiazka/4974554/mam-65-lat
Krótka historia brata Marcelego Vana,Antoni Boucher,2004-01-01,86,polski,Fundacja Nasza Przyszłość,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"6,0",8388531387,https://lubimyczytac.pl/ksiazka/4879102/krotka-historia-brata-marcelego-vana
Roman Wilhelmi I tak będę wielki,Marcin Rychcik,2004-01-01,285,polski,Oficyna Wydawnicza RYTM,"biografia, autobiografia, pamiętnik",papier,1,0,"Biografia prezentująca artystyczną drogę Romana Wilhemiego. Prezentuje jego role teatralne i filmowe. Autor w obszernym stopniu spożytkował relacje o R. Wilhelmim, zebrane w kręgu rodzinnym, przyjacielskim, aktorskim. Pośród rozmówców autora znaleźli się m.in. Zbigniew Zapasiewicz, Maciej Prus, Henryk Talar, Tomasz Zygadło, Wojciech Pokora, Jan Nowicki, Kazimierz Kutz i inni.","7,0",8373990399,https://lubimyczytac.pl/ksiazka/5134648/roman-wilhelmi-i-tak-bede-wielki
Józef Sławomir Hartman 1898-1979. Adiutant prezydenta i Ojciec Cichociemnych,Roman Lewicki,2004-01-01,96,polski,Oficyna wydawnicza Ajaks,"biografia, autobiografia, pamiętnik",papier,1,0,"Książka jest biografią płk. Józefa Sławomira Hartmanaps. ,,Roch"", ,,Sławek"" (1898-1979)wspaniałego oficera, który był ucieleśnieniem wszystkiego co w armii II Rzeczpospolitej i Polskich Siłach Zbrojnych na Zachodzie najlepsze i najpiękniejsze.","9,0",8388773119,https://lubimyczytac.pl/ksiazka/5165662/jozef-slawomir-hartman-1898-1979-adiutant-prezydenta-i-ojciec-cichociemnych
O smoku wawelskim,Edyta Wygonik,2004-01-01,10,polski,Zielona Sowa,"baśnie, legendy, podania",papier,1,0,Ta książka nie posiada jeszcze opisu.,"10,0",,https://lubimyczytac.pl/ksiazka/4961839/o-smoku-wawelskim
Jacek Malczewski,praca zbiorowa,2004-01-01,220,polski,Miejska Biblioteka Publiczna im. Józefa A.i Andrzeja S. Załuskich,"biografia, autobiografia, pamiętnik",papier,1,0,"W 150. rocznicę urodzin oraz 75. rocznicę śmierci malarza wznowiono wydawnictwo wydane w Kolekcji WBP w 1995 roku, które cieszyło się dużym zainteresowaniem, wyprzedano cały nakład. Zawiera wiele cennych materiałów, trudno dostępnych, rozproszonych w starych czasopismach lub wydanych w małych nakładach, ale także nigdzie niepublikowane trzy wiersze malarza urodzonego w Radomiu.","8,0",8391585360,https://lubimyczytac.pl/ksiazka/4154703/jacek-malczewski
Arcybiskup Edward Ropp. Życie i działalność,Antonina Kozyrska,2004-01-01,275,polski,Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego,"biografia, autobiografia, pamiętnik",papier,0,0,"Niniejsza rozprawa jest pierwszą próbą całościowego odtworzenia życiowej drogi i działalności metropolity Edwarda Roppa, a więc nakreślenia sylwetki metropolity jako osoby oraz jako kapłana i biskupa. To drugie pytanie dotyczy szczegółowej oceny wieloaspektowej działalności metropolity: kapłańskiej, pasterskiej, społecznej, politycznej; jego zapatrywań na sprawy narodowościowe. W pracy zostały wykorzystane wydane drukiem kościelne i państwowe materiały normatywne oraz statystyczno-informacyjne. Wśród źródeł drukowanych pierwszorzędną wartość mają pisma Edwarda Roppa: listy pasterskie, odezwy, artykuły, które ukazywały się na łamach pism diecezjalnych i innych czasopism. Bazę źródłową druków dopełniają informacje zamieszczane we współczesnej prasie watykańskiej, polskiej i rosyjskiej.Autorka omawia kolejne etapy życia i działalności Edwarda Roppa, odpowiadające sprawowanym przez niego poszczególnym urzędom kościelnym. Przedstawia drogę z domu rodzinnego do południowych obszarów Cesarstwa Rosyjskiego – diecezji tyraspolskiej, gdzie pracował dwukrotnie, posługę Edwarda Roppa jako administratora Libawy, ordynariusza tyraspolskiego oraz pracę w regionach kaukaskich, podjętą prawie dziesięć lat później w czasie wygnania z diecezji wileńskiej. Osobny rozdział poświęcono rządom bpa E. Roppa w diecezji wileńskiej – najbardziej intensywnemu i owocnemu okresowi jego pracy pasterskiej i społecznej.","0,0",837306222X,https://lubimyczytac.pl/ksiazka/5054704/arcybiskup-edward-ropp-zycie-i-dzialalnosc
Łapicki. Aktor. Reżyser. Pedagog,Barbara Osterloff,2004-01-01,301,polski,Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,"biografia, autobiografia, pamiętnik",papier,0,0,Praca zbiorowa pod red. Barbary Osterloff,"0,0",8392061713,https://lubimyczytac.pl/ksiazka/5087373/lapicki-aktor-rezyser-pedagog
Spod niskich pował do szczytów władzy. Wspomnienia,Emil Kołodziej,2004-01-01,98,polski,Ludowa Spółdzielnia Wydawnicza,"biografia, autobiografia, pamiętnik",papier,0,0,"Bardzo interesujące wspomnienia Autora dotyczące studiów prawniczych na uniwersytecie we Lwowie za czasów okupacji radzieckiej, pracy i sytuacji w kołchozach, wstrząsające opisy losów ludności polskiej we Lwowie i innych miejscowościach w latach wojny, informujące o spółdzielczości wiejskiej po wojnie wzbogacają naszą wiedzę historyczną.","0,0",8320546354,https://lubimyczytac.pl/ksiazka/5089103/spod-niskich-powal-do-szczytow-wladzy-wspomnienia
Wróciłem,Julian Wieciech,2004-01-01,120,polski,ZamKor,"biografia, autobiografia, pamiętnik",papier,0,0,"Historia nastolatka z Lipnicy, który ze szkolnej ławki trafił do oddziału Armii Krajowej i brał udział w spektakularnej akcji odbicia więźniów w Nowym Wiśniczu. Aresztowany wraz z innymi partyzantami 29 października 1944 roku, trafił na Montelupich w Krakowie. Stamtąd został przewieziony do Gross-Rosen, skąd w transporcie śmierci trafił do Mittelbau-Dora (Nordhausen, Harzungen). W początku kwietnia 1945 roku przewieziony do Bergen-Belsen, gdzie na granicy śmierci dotrwał do wyzwolenia obozu 15 kwietnia 1945 roku. Wspomnienia zawierają również barwny opis tradycji ludowych, życia i sytuacji gospodarczej na podbocheńskiej wsi w latach 30. XX wieku.","0,0",8388830406,https://lubimyczytac.pl/ksiazka/5167906/wrocilem
Ksiądz Michał Sopoćko jakiego znałem i pamiętam,Stanisław Strzelecki ks.,2004-01-01,224,polski,Wydawnictwo Księży Marianów PROMIC,"biografia, autobiografia, pamiętnik",papier,0,0,Ta książka nie posiada jeszcze opisu.,"0,0",,https://lubimyczytac.pl/ksiazka/5078394/ksiadz-michal-sopocko-jakiego-znalem-i-pamietam
Ricky Martin. A Short Biography,Ryszard Wolański,2004-01-01,24,angielski,Felberg SJA,"biografia, autobiografia, pamiętnik",papier,0,0,"Książka z serii Felberg Real Life Stories dla osób uczących się języka angielskiego i doskonalących jego znajomość.Ricky Martin, właśc. Enrique Jose Martin Morales IV, ur. 24 grudnia 1971 roku, San Juan, Puerto Rico piosenkarz, aktor. Jego nazwisko stało się synonimem poświęcenia i ciężkiej pracy, dzięki której osiągnął międzynarodowy sukces. Najpierw stał się sławny w Ameryce Południowej i Łacińskiej jako członek popularnego boy-bandu Menudo, w którym stawiał pierwsze kroki na scenie. Jako młody chłopak, już po odejściu z zespołu, przeprowadził się do Meksyku, gdzie grał jedną z głównych ról w cieszącym się ogromną popularnością serialu Alcanzar Una Estrella. W 1991 roku nagrał swoją pierwszą hiszpańskojęzyczną solową płytę zatytułowaną po prostu Ricky Martin. Debiutancki album sprzedał się w liczbie ponad pół miliona egzemplarzy. Kolejne płyty, m.in. Me Ameraz, A Medio Vivir i Vuelve sprzedały się już w milionach egzemplarzy na całym świecie.","0,0",,https://lubimyczytac.pl/ksiazka/5083971/ricky-martin-a-short-biography
Abschied von Danzig: Meine Vertreibung und Flucht 1945-1946,Egon Buddatsch,2004-01-01,142,niemiecki,Zeitgut,"biografia, autobiografia, pamiętnik",papier,0,0,"Heubude bei Danzig in den letzten Kriegstagen: Der Verteidigungsring um die westpreußische Stadt und ihr Umland schließt sich immer enger. Der 13jährige Egon erwartet zusammen mit seiner Mutter, seiner Oma und seinem kleinen Bruder bangend den Einmarsch der russischen Truppen. Bei einem Beschuß des Wohnhauses wird die Mutter schwer verwundet. Egon begleitet sie mit den rückziehenden deutschen Truppen bis zur Weichselmündung. Am Ufer begreift er: Wenn er jetzt mit übersetzt, gibt es kein Zurück in seine Heimatstadt. Erstmals in seinem Leben steht er allein vor einer schwerwiegenden Entscheidung: Die Mutter oder das vertraute Zuhause?","0,0",3933336554,https://lubimyczytac.pl/ksiazka/5132823/abschied-von-danzig-meine-vertreibung-und-flucht-1945-1946
Gawędy starego myśliwego,Edward Wolewicz,2004-01-01,212,polski,Oficyna Wydawnicza Oikos,"biografia, autobiografia, pamiętnik",papier,0,0,Wspomnienia myśliwskie autora z rysunkami Piotra Kanarka.,"0,0",,https://lubimyczytac.pl/ksiazka/5064503/gawedy-starego-mysliwego
Heroizm ludzi i miasta. Wspomnienia powstańców,praca zbiorowa,2004-01-01,222,polski,"Bellona, Fundacja ""Warszawa Walczy 1939-1945""","biografia, autobiografia, pamiętnik",papier,0,0,Ta książka nie posiada jeszcze opisu.,"0,0",8311098859,https://lubimyczytac.pl/ksiazka/5168423/heroizm-ludzi-i-miasta-wspomnienia-powstancow
Pamiętniki lekarzy,praca zbiorowa,2004-01-02,,polski,Bernardinum,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"6,0",,https://lubimyczytac.pl/ksiazka/4820066/pamietniki-lekarzy
W szponach gestapo,Mieczysław Bednarski,2004-01-12,,polski,Neriton,"biografia, autobiografia, pamiętnik",papier,1,0,"Autor wspomnień, działacz ZWZ, za swą konspiracyjną działalność został aresztowany 19.01.1942. Po kilku miesiącach spędzonych w Pawiaku trafił na pół roku do obozu w Oświęcimiu. Opisał dokładnie rzeczywistość więzienną, w którą były wpisane nie tylko okrucieństwa i zbrodnie Niemców, ale i upodlenie więźniów, którzy nie wahali się używać wobec siebie przemocy. Rzeczywistość tę skomentował: ""Na przestrzeni dziejów ludzkich żaden z języków byłych i obecnie istniejących nie ma słowa, które zawierałoby większy tragizm jak słowo Oświęcim"".","6,0",,https://lubimyczytac.pl/ksiazka/4879991/w-szponach-gestapo
The Spooky Art. Thoughts On Writing,Unknown,2004-02-01,352,angielski,Penguin Random House,"biografia, autobiografia, pamiętnik",papier,1,0,"In The Spooky Art, Norman Mailer discusses with signature candor the rewards and trials of the writing life, and recommends the tools to navigate it. Addressing the reader in a conversational tone, he draws on the best of more than fifty years of his own criticism, advice, and detailed observations about the writer's craft.","7,0",0812971280,https://lubimyczytac.pl/ksiazka/306830/the-spooky-art-thoughts-on-writing
The Two Princesses of Bamarre,Gail Carson Levine,2004-02-01,342,angielski,Eos,"baśnie, legendy, podania",papier,1,0,"""Step follows step.Hope follows courage.Set your face toward danger.Set your heart on victory.""Princess Meryl dreams of one day protecting the kingdom of Bamarre, while timid Princess Addie is content to stay always within the safety of the castle walls. The one trait they share is their devotion to each other. Their world is turned upside down, though, when Meryl is stricken by the incurable Gray Death. To save her sister, Addie must set out on a dangerous quest filled with dragons, unknown magic, and death itself. Time is running out, and the sisters’ lives -- and the future of Bamarre -- hang in the balance.","7,0",9780060575809,https://lubimyczytac.pl/ksiazka/4862700/the-two-princesses-of-bamarre
"Sex, Lies, and Headlocks: The Real Story of Vince McMahon and World Wrestling Entertainment",Shaun Assael,2004-02-24,266,angielski,Broadway Books,"biografia, autobiografia, pamiętnik",papier,1,0,"“Current fans and recovering Hulkamaniacs alike should find [Sex, Lies, and Headlocks] as gripping as the Camel Clutch.” —MaximSex, Lies, and Headlocks is the ultimate behind-the-scenes look at the backstabbing, scandals, and high-stakes gambles that have made wrestling an enduring television phenomenon. The man behind it all is Vince McMahon, a ruthless and entertaining visionary whose professional antics make some of the flamboyant characters in the ring look tame by comparison. Throughout the book, the authors trace McMahon’s rise to power and examine the appeal of the industry’s biggest stars—including Ed “Strangler” Lewis, Gorgeous George, Bruno Sammartino, Ric Flair, and, most recently, Stone Cold Steve Austin and The Rock. In doing so, they show us that while WWE stock is traded to the public on Wall Street, wrestling remains a shadowy world guided by a century-old code that stresses secrecy and loyalty. With a new afterword, this is the definitive book about the history of pro wrestling.“Reading this excellent behind-the-scenes look at wrestling promoter McMahon . . . is almost as entertaining and shocking as watching the most extreme antics of McMahon’s comic-book style creations such as Steve Austin and The Rock.”—Publishers Weekly“A quintessentially American success story of a cocky opportunist defying the odds and hitting it big . . . Sparkling cultural history from an author wise enough to let the facts and personalities speak for themselves.”—Kirkus Reviews","7,0",1400051436,https://lubimyczytac.pl/ksiazka/4805809/sex-lies-and-headlocks-the-real-story-of-vince-mcmahon-and-world-wrestling-entertainment
Skarbiec Legend Polskich,Marta Berowska,2004-02-27,197,polski,Wilga,"baśnie, legendy, podania",papier,1,0,Ta książka nie posiada jeszcze opisu.,"8,0",,https://lubimyczytac.pl/ksiazka/4877959/skarbiec-legend-polskich
Największy. Opowieść o Muhammadzie Alim,Przemysław Słowiński,2004-03-03,304,polski,Prószyński i S-ka,"biografia, autobiografia, pamiętnik",papier,40,7,"Trzecia - po ""Bestii"" i ""Tygrysie"" - książka Przemysława Słowińskiego z serii zbeletryzowanych biografii wielkich bokserów. ""Największy"" to Muhammad Ali, wcześniej Cassius Clay; sam sobie nadał ten przydomek na początku kariery. I bardzo szybko udowodnił, że nań zasługuje, już jako osiemnastolatek pokonując jednogłośnie na punkty Zbigniewa Pietrzykowskiego (olimpiada w Rzymie, 1960, finał wagi półciężkiej),wówczas bodaj najlepszego boksera amatora na świecie.""Największy"" to książka nie tylko o bokserze; to także barwna opowieść o Ameryce lat 60. i 70. - o Czarnych Panterach, rasizmie, hippisach i wojnie w Wietnamie, a także ludziach tworzących klimat tamtego czasu: pastorze Kingu, Charlesie Mansonie, Franku Palermo, Malcolmie X. Ali też do nich należał.[opis wydawcy]","6,8",83-7337-631-3,https://lubimyczytac.pl/ksiazka/58798/najwiekszy-opowiesc-o-muhammadzie-alim
A Passionate Apprentice,Virginia Woolf,2004-03-04,512,angielski,Penguin Books,"biografia, autobiografia, pamiętnik",papier,0,0,"A Passionate Apprentice comprises the first years of Virginia Woolf's Journal - from 1879 to 1909. Beginning in early January, when Woolf was almost fifteen, the pages open at a time when she was slowly recovering from a period of madness following her mother's death in May 1895. Between this January and the autumn of 1904, Woolf would suffer the deaths of her half-sister and of her father, and survive a summer of madness and suicidal depression. Behind the loss and confusion, however, and always near the surface of her writing is a constructive force at work - a powerful impulse towards health. It was an urge, through writing, to bring order and continuity out of chaos. Putting things into words and giving them deliberate expression had the effect of restoring reality to much that might otherwise have remained insubstantial. This early chronicle represents the beginning of the future Virginia Woolf's apprenticeship as a novelist. These pages show that rare instance when a writer of great importance leaves behind not only the actual documents of an apprenticeship, but also a biographical record of that momentous period as well. In Woolf's words, 'Here is a volume of fairly acute life (the first really lived year of my life).'","0,0",9780712646000,https://lubimyczytac.pl/ksiazka/4923425/a-passionate-apprentice
Pani Kennedy. Lata zagubione w historii,Barbara Leaming,2004-03-11,368,polski,Świat Książki,"biografia, autobiografia, pamiętnik",papier,36,4,"""Zawsze szłam za mężem"" - te słowa usłyszeli od Jacqueline Kennedy agenci ochrony, którzy próbowali ją odwieść od udziału w żałobnej procesji na cześć zamordowanego prezydenta. Zaledwie trzy lata wcześniej ta sama kobieta, pełna obaw i małżeńskich trosk, przekraczała po raz pierwszy progi Białego Domu. W wieku trzydziestu jeden lat świeżo upieczona Pierwsza Dama była już głęboko sfrustrowana swoim małżeństwem. Chroniczna niewierność męża zmuszała ją do ciągłej walki o poczucie własnej wartości. Problemy te sprawiały, że sięgała po alkohol i narkotyki, popadała w depresję. Książka to pogłębiony psychologicznie portret kobiety nazywanej przez niektórych Amerykańską Królową. Autorka z kronikarską dokładnością opisuje dzieje najsławniejszego małżeństwa XX wieku, pary Jacqueline i Johna F. Kennedych. Z intymnej perspektywy ich związku na nowo przyglądamy się chwilom, w których ważyły się losy świata.","7,0",83-7311-600-1,https://lubimyczytac.pl/ksiazka/75978/pani-kennedy-lata-zagubione-w-historii
Jak umierać i żyć lepszym życiem,Dalajlama XIV,2004-03-24,161,polski,Świat Książki,"biografia, autobiografia, pamiętnik",papier,9,1,"„Wszyscy umieramy, ale nikt nie jest martwy” mówi tybetańskie powiedzenie rozpoczynające tę książkę. Dalajlama – na podstawie XVII-wiecznego wiersza napisanego przez Pierwszego Panczenlamę – czerpiąc z bogatego skarbca tybetańskich tradycji i wierzeń, analizuje etapy, które wszyscy przechodzimy w trakcie umierania. Są one opisane w tak niezwykle fascynujący, a zarazem przystępny sposób, że nietrudno dokładnie wyobrazić sobie proces tej ostatecznej duchowej przemiany. Dalajlama pokazuje nam, jak przygotować się na ten czas, jak wzbogacić swój pobyt na ziemi oraz jak przechodzić na drugą stronę bez lęku i wzburzenia.","7,1",8373913718,https://lubimyczytac.pl/ksiazka/242254/jak-umierac-i-zyc-lepszym-zyciem
Jak by to powiedzieć... Rozmowy z Krystianem Lupą,Krystyna Gonet,2004-03-31,224,polski,Krakowskie Wydawnictwo Medyczne,"biografia, autobiografia, pamiętnik",papier,1,1,"Autorka nie skupia się wyłącznie na teatralnej biografii Lupy, a raczej stara się odsłonić tę sferę jego życia, która do tej pory pozostawała w ukryciu, powoduje, że książka ta staje się unikatem wśród publikacji poświęconych kreowaniu postaci Lupy wyłącznie jako reżysera. Rozmowy z Krystianem Lupą nie tylko smacznym kąskiem dla każdego miłośnika teatru, ale także i dla czytelnika, zainteresowanego literaturą zdecydowanie wybijającą się ponad przeciętność, będącą jeszcze jedną próbą udzielenia odpowiedzi na uniwersalne pytania i problemy.","8,0",,https://lubimyczytac.pl/ksiazka/99661/jak-by-to-powiedziec-rozmowy-z-krystianem-lupa
W królewskiej służbie,Paul Burrell,2004-04-01,367,polski,Magnum,"biografia, autobiografia, pamiętnik",papier,38,5,Wspomnienia kamerdynera księżnej Diany. Służący rodzinie królewskiej przez dwadzieścia jeden lat Paul Burrell odsłania prywatne życie księżnej Walii. W roku 1997 królowa przyznała Burrellowi Royal Victorian Medal w nagrodę za wierną służbę księżnej Dianie.,"6,6",83-89656-02-7,https://lubimyczytac.pl/ksiazka/71232/w-krolewskiej-sluzbie
Valentino - Pierwszy amant kina,Noel Botham,2004-04-01,325,polski,Ravi,"biografia, autobiografia, pamiętnik",papier,15,3,"Jest to pierwsza i jeszcze jak dotąd nieopowiedziana historia życia Rudiolfa Valentino – najbardziej zdumiewająca opowieść, jaką kiedykolwiek czytaliśmy. Droga życia, o której sam gwiazdor powiedział, ze jest zbyt ‘wariacka i nieprawdopodobna”, by można było w nią uwierzyć...Ta gruntowana i do bólu wierna biografia śledzi losy bohatera począwszy od jego lat dziecinnych w prowincjonalnym miasteczku poprzez przełomową kreację w „Szejku”, kiedy to po raz pierwszy kobieca widownia mdlała w kinach, aż po tragicznie przedwczesną śmierć. Tę barwną opowieść czyta się jednym tchem.Valentino – legendarny amant rodem z Włoch, który stał się pierwszym i największym męskim symbolem seksu wykreowanym na srebrnym ekranie, był również pierwszym obiektem emocjonalnych napaści rozhisteryzowanych fanek.","7,7",8372290547,https://lubimyczytac.pl/ksiazka/91353/valentino---pierwszy-amant-kina
Józef Czapski Tumult i olśnienia,Jil Silberstein,2004-04-01,80,polski,,"biografia, autobiografia, pamiętnik",papier,4,1,"Ta niewielka książka to bardzo osobiste wspomnienie o Józefie Czapskim (1896 - 1993),malarzu i pisarzu, współzałożycielu paryskiej ""Kultury"". Autor, Jil Silberstein, poeta i dziennikarz, był wprawdzie młodszy od Czapskiego o ponad pięćdziesiąt lat, lecz uważa go za swego przyjaciela i mistrza. Pozostawał pod wielkim wrażeniem zarówno osobowości, jak i erudycji starego polskiego arystokraty. Dzielił z nim zachwyt nad twórczością wielkich artystów i pisarzy zachodnioeuropejskich, a także zgłębiał spuściznę Witkacego i Norwida.W długich rozmowach i w listach przyjaciół często powracał wątek splątanych osobistych losów Czapskiego: w młodości zdeklarowanego pacyfisty i admiratora malarstwa francuskiego, później więźnia sowieckiego obozu w Starobielsku, żołnierza Armii Polskiej Andersa, wreszcie czołowego działacza emigracji polskiej we Francji. Silberstein znakomicie potrafił wczuć się w nostalgię Czapskiego - wygnańca nękanego tęsknotą za ojczyzną, z lękiem i nadzieją śledzącego wydarzenia w Polsce lat 70. i 80.W tym wspomnieniu mieści się nie tylko hołd złożony wybitnemu, a przy tym skromnemu człowiekowi, lecz także podziw dla wielkiego i nie w pełni docenionego dorobku myśli europejskiej, której jednym z symboli był Józef Czapski.","7,3",8373920463,https://lubimyczytac.pl/ksiazka/244684/jozef-czapski-tumult-i-olsnienia
"Grand jété, czyli wielki skok. Rozmowa z Witoldem Grucą",Jan Stanisław Witkiewicz,2004-04-05,120,polski,Wydawnictwo Iskry,"biografia, autobiografia, pamiętnik",papier,0,0,"Witold Gruca, jeden z najsłynniejszych polskich tancerzy i choreografów, opowiada o swoim życiu scenicznym i prywatnym. Występował w całej Polsce i za granicą. Przez długie lata był solistą Teatru Wielkiego w Warszawie. stworzył balety do muzyki między innymi: Bairda, Chopina, Szymanowskiego czy Różyckiego.","0,0",8320717450,https://lubimyczytac.pl/ksiazka/159318/grand-jete-czyli-wielki-skok-rozmowa-z-witoldem-gruca
